Period,SM Axis
225.7,0.6873
225.17,0.6875
225.7,0.69
1143,0 1.970000
1143,0 1.970000
1118,0 1.900000
3.5098,0.046
3.508,0.047
3.50927,0.05
3.509267,0.0482
84.288,0.362
4.11434,0.0491
4.079,0.049
4.11377,0.05
3.3366496,0.0355
3.33714,0.0348
3.33665,0.03557
3.336649,0.03596
3.3366487,0.031
2.224,0.031
3.024,0.041
3.023573,0.0398
3.023495,0.03998
1.2089819,0.0188
1.208957,0.02
1.2089802,0.01888
1.208966,0.0206
1.2089819,0.0188
3.64823,0.0429
3.6480957,0.03925
3.648096,0.03925
3.648083,0.03942
3.64802,0.042
6.201467,0.05615
6.20141,0.06
6.20147,0.0559
6.2014698,0.05591
6.20142,0.0611
3.81433,0.0404
119.29,0.504
119.263,0.506
119.29,0.5
118.96,0.49
119.6,0.5
119.27,0.52
70.46,0.3
70.46,0.302
11.06201,0.061
18.27,0.1139
158.991,0.533
1.7666957,0.0226
8.428198,0.074
8.4282,0.08
5.24,0.0441
7.775,0.0576
10.115,0.0685
9.97701,0.0637
9.977219,0.0677
9.97702,0.0677
16.05111,0.0929
16.051137,0.0929
16.051098,0.0925
37.42396,0.1633
37.42475,0.1633
37.426,0.163
27.80978,0.134
511.098,1.275
536,1.3
510.8544,1.453
510.72,1.27
45.791,0.246
6.39805,0.072
6.398042,0.0604
18.87974,0.1242
153,0.54
154.26,0.5253
154.46,0.53
154.378,0.53364
887.7,1.687
843.6,1.64
885.5,1.71
4.36305,0.054
10.721,0.09
10.70871,0.0925
10.70867,0.0929
10.72,0.088
10.7085,0.0896
30.014,0.17
3.58599,0.048
5.97293,0.0674
11.23,0.1027
87.19,0.335
2.7299025,0.01875
8.457463,0.03984
968.8,1.864
1.4520358,0.023
358,0.94
358,0.94
0.490047,0.0113
4.8494,0.052
12.46103,0.098
528.07,1.167
357.8,1.1
5.0988179,0.04825
41.516,0.217
810,1.91
825.9,1.82
22.6786,0.1455
53.7357,0.2586
653.22,1.4877
653.22,1.52
653.21997,1.5
7.851925,0.0533
7.851928,0.057
7.85191,0.054
730.59998,1.6
730.6,1.596
626,1.5
788,1.52
799.52,1.373
788,1.52
37.9196,0.2315
37.91,0.229
263.84,0.855
